timestamp clientname srvname delta delta_prec
1718447799.07 samsung greater-demon 0.189444 0.108097
1718447809.209 samsung greater-demon 0.178112 0.084027
1718447819.35 samsung greater-demon 0.176283 0.081720
1718447829.483 samsung greater-demon 0.174005 0.073962
1718447839.623 samsung greater-demon 0.177632 0.082882
1718447849.76 samsung greater-demon 0.177750 0.080603
1718447859.897 samsung greater-demon 0.174479 0.077427
1718447870.033 samsung greater-demon 0.175189 0.076181
1718447880.171 samsung greater-demon 0.176546 0.079949
1718447890.311 samsung greater-demon 0.180016 0.086803
1718447900.45 samsung greater-demon 0.177324 0.082032
1718447910.587 samsung greater-demon 0.175506 0.079387
1718447920.726 samsung greater-demon 0.175479 0.077942
1718447930.863 samsung greater-demon 0.176535 0.081134
1718447940.998 samsung greater-demon 0.177578 0.082071
1718447951.135 samsung greater-demon 0.178009 0.080459
1718447961.273 samsung greater-demon 0.177448 0.080886
1718447971.411 samsung greater-demon 0.180419 0.085909
1718447981.55 samsung greater-demon 0.179838 0.087643
1718447991.686 samsung greater-demon 0.175193 0.074998
1718448001.826 samsung greater-demon 0.177945 0.084569
1718448011.964 samsung greater-demon 0.177076 0.080392
1718448022.101 samsung greater-demon 0.180759 0.086934
1718448032.239 samsung greater-demon 0.182860 0.090527
1718448042.377 samsung greater-demon 0.181781 0.090378
1718448052.513 samsung greater-demon 0.178326 0.082633
1718448062.65 samsung greater-demon 0.175787 0.077137
1718448072.787 samsung greater-demon 0.177641 0.079199
1718448082.928 samsung greater-demon 0.179186 0.083523
1718448093.063 samsung greater-demon 0.175571 0.076454
1718448103.203 samsung greater-demon 0.179708 0.083692
1718448113.339 samsung greater-demon 0.178846 0.080632
1718448123.477 samsung greater-demon 0.176598 0.079413
1718448133.617 samsung greater-demon 0.179738 0.084733
1718448143.752 samsung greater-demon 0.174641 0.076164
1718448153.893 samsung greater-demon 0.179014 0.082805
1718448164.028 samsung greater-demon 0.177519 0.077962
1718448174.164 samsung greater-demon 0.179451 0.083565
1718448184.303 samsung greater-demon 0.178872 0.084350
1718448194.441 samsung greater-demon 0.179230 0.082070
1718448204.581 samsung greater-demon 0.179547 0.085976
1718448214.716 samsung greater-demon 0.177504 0.078176
1718448224.855 samsung greater-demon 0.177239 0.081790
1718448234.991 samsung greater-demon 0.175376 0.076477
1718448245.064 samsung greater-demon 0.145295 0.014457
1718448255.166 samsung greater-demon 0.159495 0.043531
1718448265.301 samsung greater-demon 0.178975 0.082402
1718448275.375 samsung greater-demon 0.145306 0.015433
1718448285.475 samsung greater-demon 0.159059 0.043838
1718448295.541 samsung greater-demon 0.144679 0.014818
1718448305.613 samsung greater-demon 0.145983 0.015970
1718448315.786 samsung greater-demon 0.195313 0.116712
1718448325.924 samsung greater-demon 0.179136 0.082733
1718448336.063 samsung greater-demon 0.177074 0.080862
1718448346.198 samsung greater-demon 0.176906 0.078707
1718448356.338 samsung greater-demon 0.181118 0.088317
1718448366.474 samsung greater-demon 0.177186 0.079821
1718448376.613 samsung greater-demon 0.177676 0.082395
1718448386.751 samsung greater-demon 0.179234 0.083861
1718448396.888 samsung greater-demon 0.176066 0.077167
1718448407.025 samsung greater-demon 0.181279 0.087512
1718448417.164 samsung greater-demon 0.178798 0.085049
1718448427.3 samsung greater-demon 0.176786 0.078342
1718448437.439 samsung greater-demon 0.177865 0.082782
1718448447.575 samsung greater-demon 0.176717 0.077228
1718448457.714 samsung greater-demon 0.178265 0.082198
1718448467.852 samsung greater-demon 0.176586 0.078892
1718448477.989 samsung greater-demon 0.175508 0.077068
1718448488.126 samsung greater-demon 0.180020 0.082915
1718448498.264 samsung greater-demon 0.179480 0.083710
1718448508.404 samsung greater-demon 0.181034 0.086803
1718448518.54 samsung greater-demon 0.181469 0.089120
1718448528.678 samsung greater-demon 0.177811 0.078883
1718448538.814 samsung greater-demon 0.175404 0.075675
1718448548.952 samsung greater-demon 0.180744 0.085537
1718448559.091 samsung greater-demon 0.177560 0.081805
1718448569.227 samsung greater-demon 0.178272 0.079404
1718448579.365 samsung greater-demon 0.177754 0.081277
1718448589.505 samsung greater-demon 0.181613 0.086621
1718448599.64 samsung greater-demon 0.176520 0.077335
1718448609.782 samsung greater-demon 0.183009 0.088737
1718448619.919 samsung greater-demon 0.177612 0.081186
1718448630.053 samsung greater-demon 0.177385 0.078192
1718448640.194 samsung greater-demon 0.178524 0.081564
1718448650.329 samsung greater-demon 0.177899 0.078867
1718448660.467 samsung greater-demon 0.176359 0.077305
1718448670.606 samsung greater-demon 0.178139 0.078606
1718448680.742 samsung greater-demon 0.179544 0.082923
1718448690.88 samsung greater-demon 0.181900 0.087775
1718448701.018 samsung greater-demon 0.177298 0.078044
1718448711.155 samsung greater-demon 0.177734 0.079396
1718448721.295 samsung greater-demon 0.178795 0.081472
1718448731.366 samsung greater-demon 0.145417 0.014436
1718448741.468 samsung greater-demon 0.158701 0.043954
1718448751.603 samsung greater-demon 0.180875 0.085091
1718448761.742 samsung greater-demon 0.180523 0.085623
1718448771.879 samsung greater-demon 0.172844 0.068004
1718448782.12 samsung greater-demon 0.198737 0.120270
1718448792.257 samsung greater-demon 0.177282 0.077358
1718448802.396 samsung greater-demon 0.188605 0.100336
1718448812.535 samsung greater-demon 0.180536 0.082171
1718448822.669 samsung greater-demon 0.185424 0.090789
1718448832.91 samsung greater-demon 0.201315 0.124417
1718448843.047 samsung greater-demon 0.156332 0.032897
1718448853.392 samsung greater-demon 0.200045 0.119010
1718448863.631 samsung greater-demon 0.199158 0.119835
1718448874.586 samsung greater-demon 0.161358 0.042762
1718448884.725 samsung greater-demon 0.151996 0.025144
1718448894.788 samsung greater-demon 0.146992 0.015835
1718448904.899 samsung greater-demon 0.169070 0.059570
1718448915.037 samsung greater-demon 0.176862 0.077173
